,price,bathD,bedroomD,landAreaUnitD,floorNo,floors,2 To 4 Hours Powercut,Less Than 2 Hour Powercut,No/Rare Powercut,Furnished,Semi-Furnished,Unfurnished,Apartment,Builder Floor Apartment,Penthouse,Residential House,Villa,New Property,Other,Rent,Resale,Water Availability 1 Hour Available,Water Availability 12 Hours Available,Water Availability 2 Hours Available,Water Availability 24 Hours Available,Water Availability 6 Hours Available,N,Y,amenitiesCount,floorRatio
0,46500000,2,2,sqft,5.0,7.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,13.0,0.7142857142857143
1,19500000,2,2,sqft,6.0,29.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,11.0,0.20689655172413793
2,19500000,5,3,sqft,34.0,75.0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,32.0,0.4533333333333333
3,17500000,2,2,sqft,3.0,5.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10.0,0.6
4,8000000,1,1,sqft,7.0,7.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7.0,1.0
5,21000000,4,3,sqft,5.0,18.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,48.0,0.2777777777777778
6,9975000,2,2,sqft,9.414171656686626,19.1626746506986,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10.0,0.4912764960158325
7,28000000,2,2,sqft,9.414171656686626,19.1626746506986,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,14.444773175542407,0.4912764960158325
8,14000000,1,1,sqft,9.414171656686626,19.1626746506986,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,5.0,0.4912764960158325
9,14800000,2,4,sqft,3.0,3.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4.0,1.0
10,10000000,2,2,sqft,18.0,22.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,19.0,0.8181818181818182
11,45000000,2,2,sqft,2.0,22.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,20.0,0.09090909090909091
12,21500000,4,4,sqft,2.0,12.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8.0,0.16666666666666666
13,22500000,2,1,sqft,14.0,20.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,14.0,0.7
14,14500000,2,2,sqft,18.0,32.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8.0,0.5625
15,15000000,1,1,sqft,3.0,3.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4.0,1.0
16,9000000,2,2,sqft,3.0,18.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5.0,0.16666666666666666
