,price,powerStatusD,furnishedD,bathD,transactionTypeD,propTypeD,bedroomD,waterStatus,isPrimeLocProp,floorNo,floors,amenitiesCount,floorRatio
0,46500000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,2,Water Availability 1 Hour Available,Y,5.0,7.0,13.0,0.7142857142857143
1,19500000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,N,6.0,29.0,11.0,0.20689655172413793
2,19500000,No/Rare Powercut,Semi-Furnished,5,New Property,Apartment,3,Water Availability 24 Hours Available,Y,34.0,75.0,32.0,0.4533333333333333
3,17500000,No/Rare Powercut,Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,3.0,5.0,10.0,0.6
4,8000000,No/Rare Powercut,Unfurnished,1,Resale,Apartment,1,Water Availability 24 Hours Available,N,7.0,7.0,7.0,1.0
5,21000000,No/Rare Powercut,Furnished,4,Resale,Apartment,3,Water Availability 24 Hours Available,Y,5.0,18.0,48.0,0.2777777777777778
6,9975000,No/Rare Powercut,Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,10.0,0.49096401229102654
7,28000000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,14.444773175542407,0.49096401229102654
8,14000000,No/Rare Powercut,Furnished,1,Resale,Residential House,1,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,5.0,0.49096401229102654
9,14800000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,4,Water Availability 24 Hours Available,N,3.0,3.0,4.0,1.0
10,10000000,No/Rare Powercut,Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,18.0,22.0,19.0,0.8181818181818182
11,45000000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,2.0,22.0,20.0,0.09090909090909091
12,21500000,No/Rare Powercut,Furnished,4,Resale,Apartment,4,Water Availability 24 Hours Available,Y,2.0,12.0,8.0,0.16666666666666666
13,22500000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,1,Water Availability 24 Hours Available,Y,14.0,20.0,14.0,0.7
14,14500000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,18.0,32.0,8.0,0.5625
15,15000000,No/Rare Powercut,Semi-Furnished,1,Resale,Apartment,1,Water Availability 24 Hours Available,Y,3.0,3.0,4.0,1.0
16,9000000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,N,3.0,18.0,5.0,0.16666666666666666
17,12500000,No/Rare Powercut,Furnished,1,Resale,Apartment,2,Water Availability 24 Hours Available,Y,5.0,7.0,8.0,0.7142857142857143
18,15900000,No/Rare Powercut,Semi-Furnished,3,Resale,Apartment,3,Water Availability 24 Hours Available,Y,10.0,43.0,18.0,0.23255813953488372
19,25000000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,3.0,20.0,14.0,0.15
20,16800000,No/Rare Powercut,Unfurnished,3,New Property,Apartment,3,Water Availability 24 Hours Available,Y,3.0,40.0,22.0,0.075
21,36500000,No/Rare Powercut,Unfurnished,4,New Property,Apartment,3,Water Availability 24 Hours Available,Y,34.0,38.0,18.0,0.8947368421052632
22,84200000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,9.0,12.0,10.0,0.75
